"algorithm","classifier","num_of_attr","removed_attr_num","correctly_classified","accuracy","1/rmse","delay"
NSGA-II,J48,14,28,251756,80.94345506981709,10.367558880540454,13169
NSGA-II,J48,39,3,283429,91.12681535686612,15.093297633519937,44425
NSGA-II,J48,22,20,283343,91.09916502425834,15.218407267926596,19632
NSGA-II,J48,28,14,280836,90.29312567719201,14.635119792061706,30956
NSGA-II,J48,37,5,282898,90.95609062878785,14.930484899644012,41442
NSGA-II,J48,34,8,280788,90.27769293341093,14.39551250867754,33100
NSGA-II,J48,29,13,284076,91.33483588241535,15.311292430950028,34598
NSGA-II,J48,38,4,278740,89.61922919875123,13.911231723040036,41319
NSGA-II,J48,32,10,284361,91.42646779861555,15.338246107886553,38095
NSGA-II,J48,30,12,283766,91.23516607882917,15.140323408672966,29489
NSGA-II,J48,31,11,282429,90.80529986142682,14.762642252216173,29713
PAES,J48,34,8,242406,77.93728518745961,9.871562279684438,39837
PAES,J48,30,12,283073,91.01235584048973,15.23533334776029,37028
PAES,J48,31,11,283089,91.01750008841677,15.233394881329112,37312
PAES,J48,32,10,280073,90.04780935417182,14.466324495448392,37384
PAES,J48,33,9,280073,90.04780935417182,14.466324495448392,37642
PAES,J48,38,4,284688,91.5316033656242,15.488396525581283,42109
PAES,J48,37,5,284050,91.32647647953394,15.227876663652241,48631
PAES,J48,36,6,284045,91.32486890205674,15.23012896358958,47728
PAES,J48,35,7,242406,77.93728518745961,9.871562279684438,40369
eMOEA,J48,34,8,283854,91.26345944242783,15.209425670883208,43605
eMOEA,J48,31,11,280050,90.04041449777672,14.467936830564092,33110
eMOEA,J48,37,5,278067,89.40284927032059,13.769185177347527,40668
eMOEA,J48,36,6,284045,91.32486890205674,15.23012896358958,46448
eMOEA,J48,35,7,242406,77.93728518745961,9.871562279684438,38557
eMOEA,J48,33,9,280073,90.04780935417182,14.466324495448392,34991
eMOEA,J48,32,10,279923,89.99958202985593,14.44313648968743,35472
eMOEA,J48,28,14,277463,89.20865391107525,13.829202825569046,30789
eMOEA,J48,38,4,278068,89.40317078581602,13.768861041160493,41471
eMOEA,J48,40,2,282902,90.9573766907696,14.934239894101456,46530
eMOEA,J48,39,3,280078,90.04941693164902,14.219341970142551,41726
eMOEA,J48,30,12,280043,90.03816388930865,14.46645831340235,31780
eMOEA,J48,29,13,280043,90.03816388930865,14.46645831340235,30751
